TEAM,CONF,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,SEED,YEAR,WIN_PCT
Princeton,Ivy,104.9,106.1,0.4689,53.9,52.2,16.4,16.6,22.0,24.8,26.2,32.5,52.1,51.2,37.3,35.9,65.6,,2018,0.4642857142857143
Yale,Ivy,102.5,105.2,0.4244,52.7,52.4,18.8,17.7,25.4,26.7,31.0,33.8,55.3,53.4,32.8,33.7,70.2,,2018,0.5333333333333333
Brown,Ivy,98.5,97.2,0.5373,50.4,48.0,20.3,20.9,24.5,27.5,36.7,31.3,50.2,50.1,33.8,30.0,72.4,,2019,0.6666666666666666
Columbia,Ivy,102.0,105.6,0.4033,51.5,52.1,18.0,18.9,24.3,27.2,22.4,38.1,50.6,51.0,35.4,35.8,68.9,,2019,0.38461538461538464
Cornell,Ivy,99.0,104.0,0.3611,51.1,50.5,18.9,17.4,18.8,28.8,33.9,26.8,52.3,50.6,32.9,33.7,69.3,,2019,0.5172413793103449
Dartmouth,Ivy,102.7,106.5,0.3975,51.8,53.0,17.6,16.0,23.9,24.8,24.8,27.9,50.6,54.6,35.8,33.1,67.4,,2019,0.39285714285714285
Harvard,Ivy,105.0,99.4,0.6528,53.3,50.2,22.6,17.5,28.7,23.1,31.6,33.8,52.7,49.6,36.1,34.2,68.4,,2019,0.6333333333333333
Penn,Ivy,103.6,97.1,0.6766,52.6,49.1,18.4,19.0,24.8,26.3,28.1,25.5,52.9,48.7,34.7,33.3,68.6,,2019,0.6333333333333333
Princeton,Ivy,97.9,98.5,0.4819,47.0,49.7,17.8,17.2,24.3,24.7,29.8,28.7,48.1,50.3,30.3,32.5,68.8,,2019,0.6153846153846154
Canisius,MAAC,101.2,100.7,0.5153,46.6,46.9,18.4,21.5,34.0,32.3,32.0,40.7,46.1,46.1,31.8,32.2,63.9,,2015,0.5454545454545454
Fairfield,MAAC,93.7,104.5,0.2203,45.2,48.3,20.2,18.3,27.3,33.9,37.1,42.7,43.2,47.2,32.2,34.3,62.1,,2015,0.22580645161290322
Iona,MAAC,110.9,105.7,0.6343,54.7,48.1,17.2,16.7,28.7,33.2,37.4,28.5,51.3,45.7,39.6,35.5,70.4,,2015,0.7428571428571429
Marist,MAAC,91.9,104.1,0.1926,46.8,49.6,20.5,20.8,21.2,35.6,38.0,36.7,46.4,49.6,31.5,33.1,65.3,,2015,0.21875
Monmouth,MAAC,98.0,100.4,0.4312,47.9,47.2,19.9,21.4,30.0,33.6,41.0,37.2,46.7,44.3,33.8,34.2,63.9,,2015,0.5454545454545454
Niagara,MAAC,98.5,109.7,0.2254,45.6,53.7,20.6,18.1,32.0,29.5,41.2,36.3,42.3,52.1,35.1,37.9,65.2,,2015,0.26666666666666666
Quinnipiac,MAAC,101.4,101.3,0.5029,44.0,45.2,20.4,14.0,42.1,26.5,35.5,33.4,43.1,41.9,30.7,35.1,66.7,,2015,0.5
Rider,MAAC,98.9,99.0,0.4959,49.4,47.5,19.2,21.6,31.1,29.6,35.6,37.7,49.0,46.6,33.4,32.7,64.6,,2015,0.6363636363636364
Saint Peter's,MAAC,97.3,99.9,0.4267,46.9,45.2,19.5,20.9,31.4,30.5,44.0,45.8,44.6,44.3,34.3,31.2,60.7,,2015,0.47058823529411764
Siena,MAAC,103.9,111.2,0.3129,47.5,51.4,18.7,21.2,36.3,37.1,41.9,51.0,46.6,49.9,33.2,36.2,66.7,,2015,0.3548387096774194
Canisius,MAAC,106.6,113.3,0.3338,49.0,54.9,15.9,19.6,31.0,32.8,36.9,39.0,47.5,53.6,34.1,38.0,68.5,,2016,0.42424242424242425
Fairfield,MAAC,102.8,106.2,0.4057,51.3,49.6,17.6,18.9,24.8,34.1,32.6,34.1,50.0,49.1,35.4,33.7,72.4,,2016,0.5757575757575758
Manhattan,MAAC,98.4,105.5,0.3108,50.1,52.2,20.5,22.6,23.5,32.5,39.8,46.8,47.6,52.9,36.1,33.7,68.8,,2016,0.41935483870967744
Marist,MAAC,100.7,116.0,0.1641,49.4,53.6,17.3,16.9,24.3,32.0,35.9,36.6,48.1,51.6,34.2,38.2,68.9,,2016,0.23333333333333334
Monmouth,MAAC,105.7,98.1,0.7016,49.9,46.1,16.5,20.1,28.6,30.7,38.4,37.2,47.2,45.3,36.6,31.4,73.6,,2016,0.7777777777777778
Niagara,MAAC,92.8,107.3,0.1578,44.9,49.0,21.1,16.9,32.8,31.3,34.0,35.5,46.2,46.4,28.2,35.7,66.8,,2016,0.21875
Quinnipiac,MAAC,91.5,102.3,0.2167,42.8,46.5,21.7,17.4,38.4,29.3,28.0,40.1,38.3,46.5,34.1,31.0,69.6,,2016,0.3
Rider,MAAC,98.1,103.6,0.347,48.3,47.8,19.2,18.2,28.6,29.4,35.4,32.4,48.9,45.7,31.5,34.0,65.3,,2016,0.3939393939393939
Saint Peter's,MAAC,95.1,101.3,0.3266,47.7,47.8,19.5,17.7,30.4,26.3,35.1,31.7,47.0,45.7,32.7,34.1,65.7,,2016,0.4666666666666667
Siena,MAAC,106.8,104.0,0.5747,52.0,47.2,22.2,17.3,39.1,30.0,40.8,38.4,50.7,46.7,36.8,32.1,71.1,,2016,0.6176470588235294
Canisius,MAAC,106.9,109.5,0.4309,53.1,54.5,18.2,20.8,30.2,32.2,30.9,33.8,51.4,56.0,37.1,34.3,70.8,,2017,0.5294117647058824
Fairfield,MAAC,98.0,102.2,0.3818,51.3,49.5,18.6,17.5,24.3,28.2,27.2,32.0,52.0,49.4,33.5,33.1,70.7,,2017,0.5161290322580645
Manhattan,MAAC,95.7,107.1,0.2159,47.4,51.6,22.6,20.0,30.8,30.1,41.0,53.4,46.3,48.1,32.9,39.2,70.7,,2017,0.3125
Marist,MAAC,100.8,112.6,0.2183,49.9,52.6,18.4,15.7,21.6,32.9,37.9,37.0,49.9,50.5,33.3,37.7,68.6,,2017,0.25
Monmouth,MAAC,106.7,99.5,0.6915,50.8,47.0,16.7,19.5,29.7,30.0,37.3,35.7,47.6,45.1,37.3,33.4,73.8,,2017,0.7941176470588235
Niagara,MAAC,99.4,109.1,0.2566,47.6,50.5,17.9,16.0,30.5,30.7,33.6,30.8,44.0,48.1,36.6,36.6,70.3,,2017,0.30303030303030304
Quinnipiac,MAAC,100.7,112.7,0.2152,47.9,52.6,19.2,16.8,34.1,30.2,33.0,38.2,47.4,50.5,32.6,38.0,74.3,,2017,0.3225806451612903
Rider,MAAC,99.9,104.5,0.3749,49.0,49.0,19.6,18.1,33.0,27.1,37.0,35.9,48.7,48.0,33.2,33.7,73.5,,2017,0.5454545454545454
Saint Peter's,MAAC,102.2,95.5,0.687,51.2,48.1,17.3,20.9,25.5,25.9,33.1,29.2,47.3,48.4,38.1,31.9,62.6,,2017,0.6388888888888888
Siena,MAAC,105.2,106.1,0.4764,49.9,50.3,19.7,17.2,35.5,29.3,40.0,35.5,50.2,50.0,32.7,33.9,70.0,,2017,0.5
Canisius,MAAC,105.9,104.4,0.5411,54.2,50.5,18.7,21.6,29.9,30.4,29.9,37.2,55.9,51.7,34.8,32.1,70.0,,2018,0.6363636363636364
Fairfield,MAAC,101.0,105.6,0.3743,51.4,52.5,17.4,18.8,24.4,27.1,30.9,36.8,51.8,49.0,33.9,39.3,71.6,,2018,0.5151515151515151
Manhattan,MAAC,98.5,104.0,0.3501,51.6,50.1,22.7,21.5,31.0,32.1,37.6,41.0,46.8,49.1,40.0,34.5,67.1,,2018,0.45161290322580644
Marist,MAAC,98.5,111.8,0.1891,52.7,52.6,21.7,14.8,22.6,29.8,35.8,29.8,53.0,50.8,34.9,36.9,70.5,,2018,0.1935483870967742
Monmouth,MAAC,102.7,104.3,0.4537,52.3,51.4,20.9,18.3,26.6,26.9,44.1,41.6,49.3,49.9,38.9,35.4,71.2,,2018,0.3548387096774194
Niagara,MAAC,107.8,113.9,0.3486,50.8,52.6,15.0,15.5,30.9,31.0,38.0,29.5,49.2,50.2,35.8,38.0,74.7,,2018,0.5757575757575758
Quinnipiac,MAAC,100.8,111.0,0.2485,50.3,53.6,19.4,16.3,27.8,28.5,37.0,30.1,49.8,50.2,33.9,39.6,67.7,,2018,0.36363636363636365
Rider,MAAC,107.8,106.8,0.527,52.6,52.8,17.6,20.5,33.5,28.6,42.1,36.8,52.0,50.5,35.8,37.1,74.9,,2018,0.6875
Saint Peter's,MAAC,94.5,99.3,0.3625,49.2,48.4,19.6,21.3,27.1,28.9,27.3,42.3,48.1,47.8,33.7,32.9,63.9,,2018,0.4375
Siena,MAAC,96.1,107.8,0.209,48.2,50.9,21.7,15.6,31.4,29.0,36.4,42.1,44.7,50.1,36.7,34.9,67.3,,2018,0.25
Canisius,MAAC,101.1,111.0,0.2539,50.5,53.6,18.6,20.5,27.0,31.9,31.4,36.9,52.0,53.3,32.4,36.0,69.2,,2019,0.46875
Fairfield,MAAC,95.9,105.1,0.2571,50.7,52.6,20.7,21.4,26.1,28.9,23.9,40.1,49.5,51.2,35.0,36.6,69.3,,2019,0.2903225806451613
Manhattan,MAAC,89.2,103.8,0.1496,47.4,51.0,24.1,23.5,30.6,30.3,33.3,45.6,45.6,48.6,33.2,36.1,63.3,,2019,0.34375
Marist,MAAC,100.4,107.1,0.3218,52.3,53.0,18.9,19.3,24.3,26.6,32.2,35.9,50.8,52.6,36.3,35.5,65.9,,2019,0.3870967741935484
Monmouth,MAAC,92.7,102.3,0.2422,45.8,51.1,20.6,21.2,29.3,28.5,40.3,43.2,46.4,48.4,29.7,35.8,68.9,,2019,0.4
Niagara,MAAC,101.2,114.7,0.1916,49.2,53.4,17.3,16.2,27.1,26.2,33.3,25.3,46.1,51.3,35.9,38.0,71.1,,2019,0.40625
Quinnipiac,MAAC,104.7,111.8,0.319,52.8,50.7,19.4,15.7,29.8,29.3,37.3,27.0,48.5,50.1,37.7,34.5,68.1,,2019,0.5161290322580645
Rider,MAAC,100.2,104.6,0.3788,50.6,53.7,18.0,22.8,30.8,27.4,39.9,36.0,50.4,53.6,34.0,35.9,75.1,,2019,0.5161290322580645
Saint Peter's,MAAC,94.0,106.9,0.1854,48.7,51.2,23.3,18.7,29.9,27.8,34.8,38.5,48.8,46.7,32.5,38.6,64.9,,2019,0.3125
Siena,MAAC,100.3,106.9,0.3233,51.5,52.6,15.6,18.0,23.6,28.5,24.7,27.3,52.1,51.9,33.9,36.0,61.9,,2019,0.5151515151515151
Akron,MAC,103.4,97.1,0.6727,49.4,45.5,18.8,18.8,33.3,31.5,31.3,41.0,46.7,43.8,34.9,33.0,64.1,,2015,0.5882352941176471
Ball St.,MAC,98.9,106.7,0.2942,48.9,52.4,21.6,18.2,29.9,28.6,35.4,42.1,47.7,51.8,33.6,35.7,64.0,,2015,0.20689655172413793
Bowling Green,MAC,104.2,100.1,0.614,49.3,47.2,18.4,19.5,31.6,29.5,32.4,32.2,48.6,46.1,33.8,32.6,63.8,,2015,0.65625
Central Michigan,MAC,113.2,105.1,0.7002,54.5,51.7,15.1,19.7,28.8,30.9,36.6,36.2,53.7,51.7,36.9,34.4,64.6,,2015,0.6896551724137931
Eastern Michigan,MAC,99.4,97.4,0.5591,46.9,46.2,17.8,21.5,30.2,33.7,41.5,42.5,46.7,44.0,31.4,33.1,66.3,,2015,0.5483870967741935
Kent St.,MAC,105.3,101.4,0.6069,49.8,45.8,17.8,18.2,33.6,32.7,37.1,39.5,46.7,44.8,36.6,32.1,62.0,,2015,0.6470588235294118
Miami OH,MAC,99.1,105.0,0.3397,49.4,53.1,19.4,20.6,25.9,29.6,38.7,42.5,48.3,53.7,34.4,34.9,65.4,,2015,0.3870967741935484
Northern Illinois,MAC,100.1,103.3,0.4112,47.6,51.8,21.7,21.4,36.4,31.1,47.1,40.9,47.2,52.5,32.2,33.9,62.8,,2015,0.4482758620689655
Ohio,MAC,100.8,106.3,0.35,49.8,49.3,18.7,15.4,25.9,30.5,28.9,32.2,49.0,46.8,34.0,35.9,66.8,,2015,0.3333333333333333
Toledo,MAC,111.6,103.8,0.6969,52.3,49.7,18.1,16.2,33.3,29.4,41.2,31.0,51.2,51.0,36.6,31.7,67.2,,2015,0.6060606060606061
Western Michigan,MAC,105.7,105.2,0.513,51.3,51.9,18.1,18.9,29.8,30.4,42.7,36.7,49.9,51.1,35.9,35.4,65.4,,2015,0.5625
Akron,MAC,109.0,100.5,0.7187,52.7,46.8,15.5,16.7,28.5,30.4,30.6,32.4,48.0,47.5,38.2,30.1,68.3,,2016,0.7352941176470589
Ball St.,MAC,102.1,102.1,0.4994,52.2,46.8,19.9,16.5,28.0,26.3,34.8,38.6,49.9,43.7,36.9,35.1,66.2,,2016,0.5882352941176471
Bowling Green,MAC,99.1,105.8,0.3201,48.9,50.9,18.5,17.1,28.1,28.4,40.2,35.9,47.2,47.3,35.4,37.9,69.3,,2016,0.4375
Central Michigan,MAC,110.3,108.3,0.5524,51.7,51.0,13.6,15.9,26.5,31.5,30.0,35.2,50.8,50.7,35.2,34.4,67.4,,2016,0.4666666666666667
Eastern Michigan,MAC,105.7,104.4,0.5343,48.8,50.6,17.4,20.9,31.1,36.9,43.5,42.9,49.5,47.6,31.5,36.8,71.2,,2016,0.4827586206896552
Kent St.,MAC,105.4,106.8,0.4623,49.0,51.0,17.5,16.8,34.1,28.0,40.0,35.1,49.0,49.5,32.8,35.9,68.2,,2016,0.5806451612903226
Miami OH,MAC,96.4,103.6,0.3055,45.3,51.2,18.5,20.8,27.9,31.2,36.1,38.6,44.8,49.2,30.8,35.9,65.3,,2016,0.375
Northern Illinois,MAC,100.5,100.8,0.4918,47.8,49.0,18.5,19.9,32.1,27.7,41.7,41.3,44.8,46.4,35.6,35.2,68.6,,2016,0.5666666666666667
Ohio,MAC,110.1,106.5,0.5952,54.2,49.6,16.9,14.5,24.9,25.8,37.4,33.5,52.3,47.1,38.2,36.4,70.7,,2016,0.6470588235294118
Toledo,MAC,107.9,102.9,0.6338,52.7,51.0,16.6,17.3,27.9,24.6,34.3,28.8,51.7,46.6,36.3,38.9,70.0,,2016,0.5161290322580645
Western Michigan,MAC,102.4,104.5,0.4417,47.6,52.0,17.9,17.1,30.6,25.5,43.8,38.5,46.3,51.0,33.7,35.6,69.0,,2016,0.36666666666666664
Akron,MAC,111.1,105.4,0.6488,55.1,51.0,17.2,16.7,29.4,27.9,37.3,32.9,55.0,49.0,36.8,36.8,67.4,,2017,0.7714285714285715
Ball St.,MAC,103.6,104.5,0.474,53.7,48.7,19.9,17.2,27.8,28.4,35.1,35.9,51.7,46.2,37.6,35.6,72.2,,2017,0.6363636363636364
Bowling Green,MAC,99.8,105.8,0.3384,48.0,53.1,17.3,20.0,28.5,28.2,35.8,34.2,46.5,53.3,34.1,35.2,71.5,,2017,0.41935483870967744
Buffalo,MAC,103.5,102.0,0.542,50.7,48.2,19.8,17.5,33.2,29.2,37.3,42.9,51.4,45.8,33.0,35.1,72.4,,2017,0.5666666666666667
Central Michigan,MAC,109.8,117.8,0.3083,51.7,53.5,14.7,15.2,26.7,34.0,34.6,32.6,48.5,53.9,36.4,35.1,76.3,,2017,0.5333333333333333
Eastern Michigan,MAC,105.3,104.4,0.5246,48.8,50.4,17.1,21.5,33.6,35.0,35.3,50.8,48.0,50.2,33.6,33.9,69.6,,2017,0.5517241379310345
Miami OH,MAC,94.3,105.2,0.2203,48.6,51.4,20.1,20.7,24.9,31.8,37.0,40.0,49.8,50.8,30.9,34.8,70.0,,2017,0.36666666666666664
Northern Illinois,MAC,98.8,101.8,0.4121,46.4,50.8,19.5,20.5,33.5,28.1,40.3,39.8,46.6,49.8,30.6,34.9,68.2,,2017,0.5172413793103449
Ohio,MAC,105.5,99.4,0.6659,53.2,47.3,17.4,18.1,25.6,27.7,33.7,32.7,50.0,46.8,38.5,32.1,71.6,,2017,0.6666666666666666
Toledo,MAC,107.8,104.2,0.5969,54.4,51.2,18.5,14.2,29.0,25.5,38.3,27.2,54.6,52.3,36.1,32.3,68.1,,2017,0.5151515151515151
Western Michigan,MAC,105.2,105.1,0.5018,50.9,54.0,17.6,18.3,31.1,26.5,35.0,34.2,48.2,53.9,38.3,36.1,69.3,,2017,0.5161290322580645
Akron,MAC,102.4,107.5,0.3634,51.5,54.2,19.8,18.5,27.0,28.3,31.4,39.1,49.9,54.1,35.6,36.1,68.9,,2018,0.45161290322580644
Ball St.,MAC,102.0,102.7,0.4797,51.4,49.4,18.4,16.7,28.0,27.5,33.2,30.0,51.7,46.3,33.9,36.6,71.1,,2018,0.6129032258064516
Bowling Green,MAC,101.4,107.4,0.3406,47.3,52.3,17.6,16.8,29.7,26.5,36.6,32.0,45.1,51.2,34.3,36.3,71.5,,2018,0.5333333333333333
Central Michigan,MAC,109.5,109.4,0.5009,51.0,52.5,17.0,17.9,31.1,31.0,33.7,27.2,50.5,53.1,34.4,34.5,68.3,,2018,0.6363636363636364
Eastern Michigan,MAC,101.3,99.1,0.563,51.4,47.5,18.7,20.1,30.4,32.7,29.2,31.6,52.0,44.6,33.6,34.6,66.0,,2018,0.7096774193548387
Kent St.,MAC,101.7,105.8,0.3863,48.7,51.1,18.7,18.0,31.4,30.5,32.5,33.4,48.8,51.2,32.4,33.9,69.8,,2018,0.5151515151515151
Miami OH,MAC,100.0,101.9,0.4475,50.1,51.4,19.3,18.1,27.1,25.8,27.0,28.5,50.0,51.9,33.5,33.7,67.7,,2018,0.5
Northern Illinois,MAC,102.1,110.6,0.2844,49.5,54.3,17.0,17.4,28.2,28.8,33.1,33.4,49.8,54.6,32.6,36.0,68.3,,2018,0.4
Ohio,MAC,99.9,101.0,0.4672,51.0,49.9,18.0,18.1,22.4,26.4,30.9,30.1,48.4,50.7,37.2,32.4,72.7,,2018,0.4666666666666667
Toledo,MAC,113.2,108.3,0.6248,55.3,49.5,16.6,13.4,27.8,27.8,37.1,26.4,51.4,48.5,40.6,34.4,69.5,,2018,0.696969696969697
Western Michigan,MAC,105.3,108.0,0.4287,49.3,54.2,15.6,19.7,29.7,27.2,34.1,33.7,48.0,52.5,34.5,37.6,68.9,,2018,0.5666666666666667
Akron,MAC,98.4,92.9,0.6586,48.2,45.5,17.3,19.1,25.1,29.9,27.7,30.6,48.8,46.1,31.7,29.6,67.5,,2019,0.5483870967741935
Ball St.,MAC,100.5,97.7,0.5825,51.8,47.3,20.2,17.9,27.5,28.6,37.6,30.4,53.5,46.8,32.2,32.1,71.6,,2019,0.5
Bowling Green,MAC,107.5,102.0,0.6466,50.5,50.8,16.6,17.8,30.7,24.8,34.9,31.1,48.8,50.0,35.8,34.6,71.5,,2019,0.6875
Central Michigan,MAC,109.2,105.3,0.6038,51.4,50.1,16.2,18.7,31.0,33.1,40.0,28.8,48.9,53.6,36.9,29.3,72.4,,2019,0.71875
Eastern Michigan,MAC,101.4,101.5,0.4973,48.5,50.8,20.8,20.1,34.3,34.9,33.9,32.0,50.5,50.4,29.9,34.2,64.4,,2019,0.5357142857142857
Kent St.,MAC,109.0,106.0,0.5782,49.6,52.7,16.4,19.0,33.2,30.6,31.8,35.9,49.1,53.2,33.6,34.7,68.9,,2019,0.7096774193548387
Miami OH,MAC,103.0,101.4,0.5469,48.6,51.1,18.7,16.7,30.0,25.3,34.7,33.9,48.7,51.3,32.3,33.9,67.6,,2019,0.5
Northern Illinois,MAC,106.6,104.8,0.5498,52.6,51.9,17.2,17.9,27.2,26.7,26.5,39.1,51.6,50.0,36.5,36.1,67.3,,2019,0.53125
Ohio,MAC,98.4,100.5,0.4396,48.6,50.8,20.0,18.5,28.2,27.4,33.2,31.2,50.7,48.9,29.7,35.9,70.8,,2019,0.4666666666666667
Toledo,MAC,108.6,97.8,0.7686,53.2,46.8,17.4,15.4,28.1,25.7,26.1,26.8,50.4,46.6,38.0,31.5,69.0,,2019,0.78125
Western Michigan,MAC,98.3,105.0,0.3189,48.0,52.1,21.7,15.2,29.7,27.6,36.7,29.9,49.4,50.1,30.5,36.9,70.5,,2019,0.25806451612903225
Bethune Cookman,MEAC,90.4,109.4,0.1001,44.2,48.2,22.7,20.9,34.4,34.1,40.3,46.4,44.4,47.5,29.1,33.1,60.6,,2015,0.3
Coppin St.,MEAC,97.0,115.7,0.1163,47.0,54.5,18.4,19.3,25.3,38.1,30.5,42.4,42.4,53.2,35.3,38.4,74.3,,2015,0.23333333333333334
Delaware St.,MEAC,99.3,110.0,0.2364,47.7,48.8,19.7,16.4,31.8,31.8,31.5,36.0,44.8,48.0,35.0,33.5,67.4,,2015,0.47058823529411764
Florida A&M,MEAC,83.6,116.0,0.0226,41.3,53.5,21.8,18.5,26.8,35.5,37.8,34.9,40.9,54.0,28.3,35.1,66.3,,2015,0.06896551724137931
Howard,MEAC,90.8,100.7,0.2332,46.2,45.7,25.0,21.4,33.5,34.6,43.4,40.1,47.4,44.8,28.9,31.4,63.1,,2015,0.4482758620689655
Maryland Eastern Shore,MEAC,100.9,107.1,0.3351,51.7,51.1,23.4,21.3,35.5,31.9,47.0,41.1,48.9,52.6,38.2,32.4,64.9,,2015,0.5454545454545454
Morgan St.,MEAC,92.4,111.3,0.1057,40.2,53.3,16.2,21.6,34.8,33.8,33.1,43.2,39.1,52.9,28.4,36.1,65.0,,2015,0.22580645161290322
Norfolk St.,MEAC,102.3,107.4,0.3621,52.1,48.1,20.7,18.0,34.3,30.4,42.7,39.4,52.2,46.3,34.5,33.9,65.1,,2015,0.5625
North Carolina A&T,MEAC,91.7,112.1,0.0903,44.6,50.4,23.6,18.8,34.1,34.4,37.3,40.9,45.7,47.8,28.4,36.5,62.7,,2015,0.23333333333333334
North Carolina Central,MEAC,102.5,98.4,0.6142,53.2,42.1,19.8,20.2,31.0,30.8,37.2,41.1,53.1,41.3,35.6,29.1,59.9,,2015,0.7333333333333333
Savannah St.,MEAC,85.6,104.4,0.0922,44.0,53.0,24.7,24.8,30.0,33.7,34.2,50.5,46.2,51.9,25.2,37.1,65.4,,2015,0.2413793103448276
South Carolina St.,MEAC,89.1,107.6,0.103,42.4,51.0,19.4,20.1,30.1,33.2,32.8,36.4,41.1,51.5,30.1,33.4,65.2,,2015,0.2903225806451613
Bethune Cookman,MEAC,97.5,110.6,0.1889,47.1,49.7,18.5,18.0,32.0,35.7,31.0,34.5,47.4,48.4,31.1,34.6,67.8,,2016,0.4
Coppin St.,MEAC,95.3,111.8,0.1368,44.2,52.8,17.7,18.1,30.7,34.8,37.2,43.1,40.6,51.8,33.4,36.7,71.1,,2016,0.2413793103448276
Delaware St.,MEAC,88.6,112.9,0.0578,44.8,51.6,21.1,19.9,27.2,38.8,29.1,41.3,42.4,52.8,32.4,33.3,67.1,,2016,0.16666666666666666
Florida A&M,MEAC,82.9,107.0,0.0506,44.8,50.3,22.5,20.3,25.4,31.2,42.5,38.5,44.4,50.4,30.4,33.3,70.4,,2016,0.2222222222222222
Howard,MEAC,92.2,108.8,0.1289,43.6,49.2,20.3,18.9,32.6,35.8,48.5,36.6,43.4,48.6,29.5,33.5,71.5,,2016,0.3333333333333333
Maryland Eastern Shore,MEAC,97.7,112.9,0.1604,49.2,53.0,23.0,18.8,31.4,29.7,37.3,49.5,49.5,53.0,32.4,35.3,68.3,,2016,0.2903225806451613
Morgan St.,MEAC,93.9,107.1,0.1804,44.0,50.7,16.7,20.8,30.4,33.9,35.8,38.5,43.6,52.5,30.1,31.2,70.0,,2016,0.26666666666666666
Norfolk St.,MEAC,103.4,112.0,0.2859,48.7,50.2,17.7,19.1,32.2,34.3,41.5,41.9,46.7,46.1,34.7,38.0,68.4,,2016,0.46875
North Carolina A&T,MEAC,95.1,114.3,0.1082,45.8,51.3,19.5,18.2,29.8,31.5,37.0,48.5,44.8,51.7,31.8,33.8,68.7,,2016,0.3225806451612903
North Carolina Central,MEAC,97.5,111.3,0.179,47.7,50.0,20.4,18.5,33.9,31.1,38.7,37.9,46.3,49.3,33.9,34.0,66.6,,2016,0.3448275862068966
Savannah St.,MEAC,86.8,102.5,0.1279,45.1,49.5,21.9,22.2,25.8,30.8,39.8,41.0,44.2,48.6,31.1,34.2,67.1,,2016,0.4666666666666667
South Carolina St.,MEAC,101.8,112.6,0.2391,49.8,50.7,17.0,17.5,29.1,31.4,34.8,38.7,49.6,49.9,33.6,34.6,68.5,,2016,0.53125
Bethune Cookman,MEAC,95.2,113.9,0.1138,46.8,53.1,17.7,19.6,31.1,35.6,28.2,40.0,45.9,54.7,32.3,33.6,69.6,,2017,0.3333333333333333
Coppin St.,MEAC,91.7,116.6,0.0593,43.9,54.4,19.1,18.9,28.0,33.1,40.0,40.0,41.7,55.0,31.7,35.6,70.0,,2017,0.26666666666666666
Delaware St.,MEAC,93.9,113.5,0.1015,47.8,52.3,19.6,20.3,28.5,37.2,30.1,39.1,44.7,52.6,35.1,34.7,67.3,,2017,0.3333333333333333
Florida A&M,MEAC,92.3,116.7,0.0632,46.5,53.2,18.5,18.9,26.3,34.7,37.6,33.9,44.7,52.5,33.9,36.1,71.2,,2017,0.25
Hampton,MEAC,92.0,106.6,0.1552,46.1,49.6,19.6,19.9,30.6,29.3,33.4,42.7,45.0,47.5,32.2,35.6,69.5,,2017,0.4827586206896552
Howard,MEAC,90.0,109.1,0.0981,43.4,49.7,21.5,18.2,32.3,33.3,43.4,35.8,43.3,47.2,29.0,36.0,68.7,,2017,0.3125
Maryland Eastern Shore,MEAC,96.4,112.7,0.1423,48.4,52.8,18.0,19.3,27.1,33.7,32.5,40.9,46.5,52.2,34.4,35.9,69.8,,2017,0.4375
Morgan St.,MEAC,91.6,105.6,0.1634,42.5,48.9,19.8,20.1,34.8,31.2,37.8,41.5,42.0,51.7,29.2,28.9,69.2,,2017,0.4827586206896552
Norfolk St.,MEAC,93.5,105.3,0.2027,47.4,48.0,20.5,16.7,29.7,28.9,38.0,38.4,46.1,45.4,33.2,34.7,69.8,,2017,0.53125
North Carolina A&T,MEAC,95.2,124.0,0.0458,47.6,53.1,21.7,14.3,31.8,32.9,33.4,38.9,47.3,50.1,32.2,38.3,64.6,,2017,0.1
Savannah St.,MEAC,99.0,113.9,0.1657,49.5,52.9,17.8,19.3,27.6,35.8,32.3,31.7,52.0,55.9,31.8,32.6,83.3,,2017,0.48148148148148145
South Carolina St.,MEAC,98.0,118.7,0.0995,47.4,54.3,18.0,17.6,28.1,35.8,30.4,39.1,47.1,55.7,32.0,34.4,69.4,,2017,0.3793103448275862
Bethune Cookman,MEAC,98.6,110.9,0.2062,49.5,48.6,20.3,17.6,32.9,30.5,41.2,38.2,51.0,47.6,31.2,33.6,76.9,,2018,0.6
Coppin St.,MEAC,86.2,109.7,0.0585,43.3,49.2,20.5,17.9,22.3,31.9,27.1,37.6,41.0,48.3,30.5,33.7,68.7,,2018,0.15625
Delaware St.,MEAC,90.3,119.2,0.0391,47.3,55.9,22.8,18.2,29.3,33.7,28.5,35.7,46.1,53.8,33.2,38.9,66.2,,2018,0.13333333333333333
Florida A&M,MEAC,94.2,117.7,0.0723,47.2,53.6,19.5,18.7,27.5,36.5,32.1,36.2,44.8,54.4,35.1,34.8,68.4,,2018,0.2727272727272727
Hampton,MEAC,100.1,107.6,0.3037,48.8,48.9,16.9,16.9,28.7,29.7,33.8,35.7,49.1,48.2,32.0,33.3,72.8,,2018,0.59375
Howard,MEAC,98.4,119.4,0.0976,48.8,53.4,18.0,18.8,28.9,34.9,34.5,38.3,46.7,53.7,34.9,35.3,71.4,,2018,0.3225806451612903
Maryland Eastern Shore,MEAC,90.1,117.5,0.045,43.1,54.7,19.4,16.0,28.2,34.7,29.7,31.8,44.3,54.3,27.5,36.8,66.4,,2018,0.23333333333333334
Morgan St.,MEAC,95.4,111.2,0.1467,45.6,51.9,18.7,20.5,33.5,30.7,39.3,41.7,44.8,51.9,32.0,34.6,70.0,,2018,0.43333333333333335
